BK;WE;Objekt-Nr;BK/WE/ON;Objekt-Bezeichnung;Gebäudeart;Land;PLZ;Ort;Straße;Bahnhof;Region/Standort;Elektrotechniker
8300;1143601;821;8300/1143601/821;Aufnahmegebäude+ehem BM Gebäude - Grein/Bad Kreuzen;Aufnahmegebäude;AT;4360;Grein;Ufer 18;Grein-Bad Kreuzen;IMM Oberösterreich (Linz);Gross Markus
8300;1217221;824;8300/1217221/824;Aufnahmegebäude - Baumgartenberg;Aufnahmegebäude;AT;4342;Baumgartenberg;;Baumgartenberg;IMM Oberösterreich (Linz);Gross Markus
8300;1217221;825;8300/1217221/825;AG nur mehr Wohngebäude - Saxen;aufgelassene Betriebsgebäude;AT;4351;Saxen;Saxen Nr. 45;;IMM Oberösterreich (Linz);Gross Markus
8300;1217411;826;8300/1217411/826;Aufnahmegebäude - Gars/Kamp;Aufnahmegebäude;AT;3571;Gars/Kamp;Bahnhofstraße 98;Gars-Thunau;IMM NÖ-West (St. Pölten);Maierhofer Paul
8300;1211111;827;8300/1211111/827;Aufnahmegebäude - Fels/Wagram;Aufnahmegebäude;AT;3481;Fels/Wagram;Bahnhofplatz 65;Fels;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1217311;829;8300/1217311/829;Haltestellengebäude - Furth Göttweig;Haltestellengebäude;AT;3511;Furth;;;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1217311;830;8300/1217311/830;Aufnahmegebäude - Furth Palt;Aufnahmegebäude;AT;3511;Furth;Bahnhofstraße 72;Furth-Palt;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1217212;834;8300/1217212/834;AG nur mehr Wohngebäude - Sarmingstein;aufgelassene Betriebsgebäude;AT;4382;Sarmingstein;Sarmingstein Nr. 30;;IMM Oberösterreich (Linz);Gross Markus
8300;1218211;841;8300/1218211/841;AG nur mehr Wohngebäude - Pillichsdorf;aufgelassene Betriebsgebäude;AT;2211;Pillichsdorf;;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1218211;842;8300/1218211/842;AG nur mehr Wohngebäude - Bockfliess;aufgelassene Betriebsgebäude;AT;2213;BOCKFLIESS;Bahnstraße 14;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1218211;843;8300/1218211/843;AG nur mehr Wohngebäude - Auersthal;aufgelassene Betriebsgebäude;AT;2214;AUERSTHAL;BAHNALLEE 1;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1121361;848;8300/1121361/848;AG nur mehr Wohngebäude - Laa/Thaya Stadt;aufgelassene Betriebsgebäude;AT;2136;Laa/Thaya;Zufahrtstraße 8;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1210712;869;8300/1210712/869;Haltestellengebäude - Rohrbach/Gölsen;Haltestellengebäude;AT;3163;Rohrbach/Gölsen;Dreikreuzstraße 48;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1210711;870;8300/1210711/870;Aufnahmegebäude - Weißenbach/Neuhaus;Aufnahmegebäude;AT;2564;Weißenbach/Neuhaus;Hauptstraße 47;Weissenbach-Neuhaus;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1125441;871;8300/1125441/871;Aufnahmegebäude - Enzesfeld Lindabrunn;Aufnahmegebäude;AT;2551;Enzesfeld/Lindabrunn;Hauptstraße 5+7;Enzesfeld-Lindabrunn;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1210711;872;8300/1210711/872;Aufnahmegebäude - Berndorf Fabrik;Aufnahmegebäude;AT;2560;Berndorf Fabrik;Augraben 2;Berndorf Fabrik;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1210711;873;8300/1210711/873;Haltestellengebäude - Berndorf Stadt;Haltestellengebäude;AT;2560;Berndorf Fabrik;J.-F. Kennedy-Platz 1;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1131003;878;8300/1131003/878;Aufnahmegebäude - Spratzern;Aufnahmegebäude;AT;3106;St.Pölten / Spratzern;Lilienfelderstrasse 18;Spratzern;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1215412;896;8300/1215412/896;AG nur mehr Wohngebäude - Steinakirchen;aufgelassene Betriebsgebäude;AT;3261;Steinakirchen/Forst;Steinakirchen 88;;IMM NÖ-West (St. Pölten);Moser Johann
8300;1215412;897;8300/1215412/897;HST nur mehr Wohngebäude - Wang;1-2-Familienhaus;AT;3262;Wang;Grieswang 9;;IMM NÖ-West (St. Pölten);Moser Johann
8300;1131601;900;8300/1131601/900;Haltestellengebäude - Traisen Markt;Haltestellengebäude;AT;3160;Traisen;;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1215111;901;8300/1215111/901;Aufnahmegebäude - Lilienfeld;Aufnahmegebäude;AT;3180;Lilienfeld;Zdarskystraße 12;Lilienfeld;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1215111;902;8300/1215111/902;HST nur mehr Wohngebäude - Schrambach;aufgelassene Betriebsgebäude;AT;3180;Lilienfeld;Mariazeller Straße 13;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1131831;903;8300/1131831/903;Aufnahmegebäude - Freiland;Aufnahmegebäude;AT;3183;Freiland;Freiland 36;Freiland;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1211241;910;8300/1211241/910;Aufnahmegebäude - Hetzmansdorf/Wullersdorf;Aufnahmegebäude;AT;2041;Hetzmansdorf/Wullersdorf;Grund 97;Hetzmannsdorf-Wullersdorf;IMM NÖ-West (St. Pölten);Maierhofer Paul
8300;1120701;911;8300/1120701/911;AG nur mehr Wohngebäude - Unterretzbach;aufgelassene Betriebsgebäude;AT;2074;Unterretzbach;Klein Höflein 142;;IMM NÖ-West (St. Pölten);Maierhofer Paul
8300;1216711;920;8300/1216711/920;Haltestellengebäude - Brunn/Pitten;Haltestellengebäude;AT;2822;Brunn/Pitten;Bahnhof 1;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1210811;922;8300/1210811/922;Aufnahmegebäude - Sauerbrunn;Aufnahmegebäude;AT;7202;Sauerbrunn;Bahnhofplatz 1;Bad Sauerbrunn;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216212;923;8300/1216212/923;Aufnahmegebäude - Gutenstein;Aufnahmegebäude;AT;2770;Gutenstein;Vorderbruck 22;Gutenstein;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216711;924;8300/1216711/924;Aufnahmegebäude - Lanzenkirchen;Aufnahmegebäude;AT;2821;Lanzenkirchen;Bahnweg 2;Lanzenkirchen;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216711;925;8300/1216711/925;Aufnahmegebäude - Bad Erlach;Aufnahmegebäude;AT;2822;Bad Erlach;Bahngasse 2;Bad Erlach;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216711;926;8300/1216711/926;Aufnahmegebäude - Scheiblingkirchen;Aufnahmegebäude;AT;2831;Scheiblingkirchen;Bahngasse 26;Scheiblingkirchen-Warth;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216711;927;8300/1216711/927;Aufnahmegebäude - Ausschlag/Zöbern;Aufnahmegebäude;AT;2870;Ausschlag/Zöbern;Zöbern 1;Ausschlag-Zöbern;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216711;928;8300/1216711/928;HST nur mehr Wohngebäude - Mönichkirchen;1-2-Familienhaus;AT;2872;Mönichkirchen;Mitteregg 64;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216722;929;8300/1216722/929;Haltestellengebäude - Tauchen Schaueregg;Haltestellengebäude;AT;7421;Tauchen Schaueregg;Tauchen 18;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216811;930;8300/1216811/930;Haltestellengebäude - Pinggau Markt;Haltestellengebäude;AT;8271;Pinggau;Bahnhofweg 1;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1182401;931;8300/1182401/931;Aufnahmegebäude - Friedberg;Aufnahmegebäude;AT;8240;Friedberg;Bahnhofstraße 60;Friedberg;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216811;932;8300/1216811/932;HST nur mehr Wohngebäude - Schäffernsteig;aufgelassene Betriebsgebäude;AT;8343;Schäffernsteig;Haideggendorf 24;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216812;933;8300/1216812/933;HST nur mehr Wohngebäude - Pinkafeld;Haltestellengebäude;AT;7423;Pinkafeld;Grazerstraße 9;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216321;942;8300/1216321/942;Haltestellengebäude - Winzendorf;Haltestellengebäude;AT;2722;Winzendorf;;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216321;943;8300/1216321/943;HST nur mehr Wohngebäude - Willendorf;1-2-Familienhaus;AT;2732;Willendorf;Bahnhofplatz 1;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216321;944;8300/1216321/944;AG nur mehr Wohngebäude - Grünbach/Schneeberg;aufgelassene Betriebsgebäude;AT;2733;Grünbach/Schneeberg;Bahnstraße 17;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1127521;945;8300/1127521/945;Aufnahmegebäude - Wöllersdorf;Aufnahmegebäude;AT;2752;Wöllersdorf;Untere Bahnhofstraße 16;Wöllersdorf;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216212;946;8300/1216212/946;Aufnahmegebäude - Piesting;Aufnahmegebäude;AT;2753;Piesting;Bahngasse 5;Piesting;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216212;947;8300/1216212/947;Aufnahmegebäude - Ober Piesting;Aufnahmegebäude;AT;2754;Piesting;Oberpiesting 65;Ober Piesting;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216212;948;8300/1216212/948;HST nur mehr Wohngebäude - Waldegg;aufgelassene Betriebsgebäude;AT;2754;Waldegg;Waldegg Nr. 137;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1111901;951;8300/1111901/951;AG nur mehr Wohngebäude - Wien Nußdorf;aufgelassene Betriebsgebäude;AT;1190;Wien;Heiligenststädterstraße 178;;IMM Wien (Wien);
8300;1134001;952;8300/1134001/952;Aufnahmegebäude r.d.B - Klosterneuburg Krierling;Aufnahmegebäude;AT;3400;Klosterneuburg/Kierling;Niedermarkt 4;Klosterneuburg-Kierling;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1134001;953;8300/1134001/953;Haltestellengebäude - Unter Kritzendorf;Haltestellengebäude;AT;3400;Unter Kritzendorf;;;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1220921;954;8300/1220921/954;Aufnahmegebäude - Kritzendorf;Aufnahmegebäude;AT;3420;Kritzendorf;Bahnhofplatz 9;Kritzendorf;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1220921;955;8300/1220921/955;Aufnahmegebäude - St. Andrä Wördern;Aufnahmegebäude;AT;3423;St. Andrä/Wördern;Hauptstraße 6;St.Andrä-Wördern;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1220921;956;8300/1220921/956;Aufnahmegebäude - Zeiselmauer;Aufnahmegebäude;AT;3424;Zeiselmauer;Bahnstraße 19;Zeiselmauer-Königstetten;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1211011;959;8300/1211011/959;WC+Haltestellengeäude - Sitzenberg Reidling;Haltestellengebäude;AT;3454;Sitzenberg;Sitzenberg/Reidling 53;;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1211011;960;8300/1211011/960;AG nur mehr Wohngebäude - Getzersdorf;Haltestellengebäude;AT;3131;Getzersdorf;;;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1211021;961;8300/1211021/961;AG nur mehr Wohngebäude - Unterradlberg;aufgelassene Betriebsgebäude;AT;3105;Unterradlberg;Dr. Hübschergasse 36;;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1134621;963;8300/1134621/963;Aufnahmegebäude - Absdorf/Hippersdorf;Aufnahmegebäude;AT;3462;Absdorf/Hippersdorf;Bahnhofstr 27;Absdorf-Hippersdorf;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1211311;965;8300/1211311/965;AG nur mehr Wohngebäude - Hausleiten;aufgelassene Betriebsgebäude;AT;3464;Hausleiten;Bahnhofstraße 101;;IMM NÖ-West (St. Pölten);Geiger Andreas
8300;1110201;966;8300/1110201/966;ehem. Aufnahmegebäude - Wien Donaukai;Rotten/Verschubunterkünfte;AT;1020;Wien Donaukai;Handelskai 427;;IMM Wien (Wien);
8300;1221441;968;8300/1221441/968;Haltestellengebäude - Sierndorf an der March;Haltestellengebäude;AT;2264;Sierndorf;;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1221431;971;8300/1221431/971;Museum - Deutsch Wagram;Sonstige Gebäude;AT;2232;Deutsch Wagram;Am Bahnhof 78;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1122011;980;8300/1122011/980;AG nur mehr Wohngebäude - Wien Süssenbrunn;aufgelassene Betriebsgebäude;AT;2201;Gerasdorf;Nordostbahnstraße 129;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1211722;982;8300/1211722/982;Aufnahmegebäude - Schönfeld;Aufnahmegebäude;AT;2291;Schönfeld/Lassee;Schönfeld 45;Schönfeld-Lassee;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1124341;989;8300/1124341/989;KWD Garage - Margareten/Moos;Haltestellengebäude;AT;2433;Margareten/Moos;;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1127001;991;8300/1127001/991;Haltestellengebäude - Theresienfeld;Haltestellengebäude;AT;2604;Theresienfeld;Bahnstraße 11;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1123801;995;8300/1123801/995;Haltestellengebäude - Perchtholdsdorf;Haltestellengebäude;AT;2380;Perchtholdsdorf;;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1220531;998;8300/1220531/998;AG nur mehr Wohngebäude - Guntramsdorf;aufgelassene Betriebsgebäude;AT;2353;Guntramsdorf;Anningerstraße 83;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1220531;1000;8300/1220531/1000;Aufnahmegebäude - Pfaffstätten;Aufnahmegebäude;AT;2511;Pfaffstätten;Schiestlgasse 1;Pfaffstätten;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1219132;1004;8300/1219132/1004;Aufnahmegebäude - Maria Ellend;Aufnahmegebäude;AT;2402;Maria Ellend;Bahnhofplatz 4;Maria Ellend;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216111;1009;8300/1216111/1009;Aufnahmegebäude - Maria Lanzendorf;Aufnahmegebäude;AT;2326;Ma. Lanzendorf;Bahnhof 47;Maria Lanzendorf;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216111;1010;8300/1216111/1010;Aufnahmegebäude - Laxenburg/Biedermannsdorf;Aufnahmegebäude;AT;2361;Laxenburg/Biedermannsdorf;Biedermannsdorf 102;Laxenburg-Biedermannsdorf;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216111;1011;8300/1216111/1011;Ehem AG - Trumau;aufgelassene Betriebsgebäude;AT;2521;Trumau;;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216111;1012;8300/1216111/1012;Haltestellengebäude - Ober Waltersdorf;Haltestellengebäude;AT;2522;Ober/Waltersdorf;Bahnstraße 1;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1216111;1013;8300/1216111/1013;Aufnahmegebäude - Tattendorf;Aufnahmegebäude;AT;2523;Tattendorf;Rechte Bahnzeile 1;Tattendorf;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1133901;1015;8300/1133901/1015;Aufnahmegebäude - Melk;Aufnahmegebäude;AT;3390;Melk;Bahnhofplatz 1;Melk;IMM NÖ-West (St. Pölten);Moser Johann
8300;1111401;1019;8300/1111401/1019;Aufnahmegebäude r.d.B - Wien Hütteldorf;Aufnahmegebäude;AT;1140;Wien;Keißlergasse 5;Wien Hütteldorf;IMM Wien (Wien);
8300;1130021;1021;8300/1130021/1021;Aufnahmegebäude - Unter Purkersdorf;Aufnahmegebäude;AT;3002;Unter Purkersdorf;Bahnhofstraße 7;Unter Purkersdorf;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1130021;1022;8300/1130021/1022;Haltestellengebäude r.d.B - Unter Tullnerbach;Haltestellengebäude;AT;3013;Unter Tullnerbach;;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1220131;1024;8300/1220131/1024;Aufnahmegebäude r.d.B - Tullnerbach Preßbaum;Aufnahmegebäude;AT;3013;Unter Tullnerbach;Knabstrasse 4;Tullnerbach-Pressbaum;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1220131;1025;8300/1220131/1025;Aufnahmegebäude l.d.B - Tullnerbach Preßbaum;Aufnahmegebäude;AT;3013;Unter Tullnerbach;Knabstraße 2;Tullnerbach-Pressbaum;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1220131;1026;8300/1220131/1026;Haltestellengebäude r.d.B - Preßbaum;Haltestellengebäude;AT;3021;Preßbaum;;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1220131;1027;8300/1220131/1027;Haltestellengebäude l.d.B - Preßbaum;Haltestellengebäude;AT;3021;Preßbaum;;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1220131;1028;8300/1220131/1028;Aufnahmegebäude - Rekawinkel;Aufnahmegebäude;AT;3031;Rekawinkel;Bahnhofstraße 4;Rekawinkel;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1220131;1029;8300/1220131/1029;Haltestellengebäude r.d.b - Maria Ansbach;Haltestellengebäude;AT;3034;Maria Anzbach;;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1220131;1030;8300/1220131/1030;Aufnahmegebäude - Neulengbach;Aufnahmegebäude;AT;3040;Neulengbach;Bahnhofstrasse 14;Neulengbach;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1220131;1031;8300/1220131/1031;Aufnahmegebäude - Böheimkirchen;Aufnahmegebäude;AT;3071;Böheimkirchen;Bahnhofstraße 3;Böheimkirchen;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1131001;1032;8300/1131001/1032;Aufnahmegebäude - St. Pölten Hbf;Aufnahmegebäude;AT;3100;St. Pölten;Bahnhofplatz 1;St.Pölten Hbf;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1220131;1035;8300/1220131/1035;Haltestellengebäude l.d.B - Rekawinkel;Haltestellengebäude;AT;3031;Rekawinkel;;;IMM NÖ-West (St. Pölten);Fritz Martin
8300;1220551;1036;8300/1220551/1036;Aufnahmegebäude - Pottschach;Aufnahmegebäude;AT;2630;Pottschach;Putzmannsdorferstrasse 2;Pottschach;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1220551;1039;8300/1220551/1039;Aufnahmegebäude - Payerbach/R;Aufnahmegebäude;AT;2650;Payerbach/Reichenau;Bahnhof 1;Payerbach-Reichenau;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1220551;1040;8300/1220551/1040;AG nur mehr Wohngebäude - Breitenstein;aufgelassene Betriebsgebäude;AT;2673;Breitenstein;Hauptstraße 28;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1148021;1045;8300/1148021/1045;Haltestellengebäude Landungsplatz - Ebensee;Haltestellengebäude;AT;4802;Ebensee;;;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1230621;1046;8300/1230621/1046;Aufnahmegebäude - Steeg/Gosau;Aufnahmegebäude;AT;4823;Steeg;Au 34;Steeg-Gosau;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1230621;1047;8300/1230621/1047;Aufnahmegebäude - Bad Goisern;Aufnahmegebäude;AT;4822;Bad Goisern;Bad Goisern 207;Bad Goisern;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1230712;1050;8300/1230712/1050;Aufnahmegebäude - Gurten;1-2-Familienhaus;AT;4942;Gurten;Bahnhofstraße 21;;IMM Oberösterreich (Linz);Niederer Bruno
8300;1230623;1052;8300/1230623/1052;Haltestellengebäude - Traunkirchen Ort;Haltestellengebäude;AT;4801;Traunkirchen;Alte Post 7;;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1230631;1053;8300/1230631/1053;Aufnahmegebäude - Holzleithen;Aufnahmegebäude;AT;4901;Ottnang am Hausruck;Rieder Straße 244;Holzleithen;IMM Oberösterreich (Linz);Niederer Bruno
8300;1230631;1054;8300/1230631/1054;Aufnahmegebäude - Hausruck;Aufnahmegebäude;AT;4906;Eberschwang;Hausruck 15;Hausruck;IMM Oberösterreich (Linz);Niederer Bruno
8300;1230641;1056;8300/1230641/1056;Aufnahmegebäude - St. Martin/Innkreis;Aufnahmegebäude;AT;4973;St.Martin/Innkreis;Diesseits 79;St.Martin im Innkreis;IMM Oberösterreich (Linz);Niederer Bruno
8300;1230641;1057;8300/1230641/1057;Aufnahmegebäude - Suben;Aufnahmegebäude;AT;4975;Suben;Etzelhofen 13;Suben;IMM Oberösterreich (Linz);Niederer Bruno
8300;1230231;1058;8300/1230231/1058;Aufnahmegebäude - Hüttau;Aufnahmegebäude;AT;5511;Hüttau;Sonnberg 16;Hüttau Terminal;IMM Salzburg (Salzburg);Hess Rudolf
8300;1230231;1061;8300/1230231/1061;Aufnahmegebäude - Eben/Pongau;Aufnahmegebäude;AT;5531;Eben/Pongau;Hauptstraße 43;Eben im Pongau;IMM Salzburg (Salzburg);Hess Rudolf
8300;1240161;1063;8300/1240161/1063;Haltestellengebäude - Mitterberghütten;Haltestellengebäude;AT;5500;Mitterberghütten;Haltestellengasse 4;;IMM Salzburg (Salzburg);Hess Rudolf
8300;1240161;1064;8300/1240161/1064;Aufnahmegebäude - St. Johann/Pongau;Aufnahmegebäude;AT;5600;St.Johann/Pongau;Bahnhofstraße 11;St.Johann im Pongau;IMM Salzburg (Salzburg);Hess Rudolf
8300;1240171;1068;8300/1240171/1068;Aufnahmegebäude - Taxenbach/Rauris;Aufnahmegebäude;AT;5660;Taxenbach/Rauris;Bahnhofsiedlung 1;Taxenbach-Rauris;IMM Salzburg (Salzburg);Hess Rudolf
8300;1240171;1071;8300/1240171/1071;Aufnahmegebäude - Lend;Aufnahmegebäude;AT;5651;Lend;Bahnhofstraße 81;Lend;IMM Salzburg (Salzburg);Hess Rudolf
8300;1140205;1073;8300/1140205/1073;Aufnahmegebäude West - Linz Vbf;Aufnahmegebäude;AT;4020;Linz;Turmstraße 14;Linz Vbf-West (in Lzv);IMM Oberösterreich (Linz);Burgholzer Franz
8300;1140201;1074;8300/1140201/1074;Haltestellengebäude - Leonding;Haltestellengebäude;AT;4060;Leonding;;;IMM Oberösterreich (Linz);Gross Markus
8300;1232111;1077;8300/1232111/1077;Aufnahmegebäude - Lungitz;Aufnahmegebäude;AT;4223;Lungitz;Lungitz 24;Lungitz;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1232111;1078;8300/1232111/1078;Aufnahmegebäude - Gaisbach Wartberg;Aufnahmegebäude;AT;4231;Gaisbach/Wartberg;Untergaisbach 44;Gaisbach-Wartberg;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1232112;1079;8300/1232112/1079;Aufnahmegebäude - Summerau;Aufnahmegebäude;AT;4261;Summerau;Summerau 73;Summerau;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1230431;1082;8300/1230431/1082;Aufnahmegebäude - Kremsmünster;Aufnahmegebäude;AT;4550;Kremsmünster;Bahnhofstraße 50;Kremsmünster;IMM Oberösterreich (Linz);Burgholzer Franz
8300;1230431;1083;8300/1230431/1083;Aufnahmegebäude - Kirchdorf/Krems;Aufnahmegebäude;AT;4560;Kirchdorf/Krems;Bahnhofstraße 43;Kirchdorf a. d. Krems;IMM Oberösterreich (Linz);Burgholzer Franz
8300;1230431;1084;8300/1230431/1084;Aufnahmegebäude - Obermicheldorf;Haltestellengebäude;AT;4563;Obermicheldorf;;;IMM Oberösterreich (Linz);Burgholzer Franz
8300;1235811;1085;8300/1235811/1085;Haltestellengebäude - Dürnberg;Haltestellengebäude;AT;4100;Ottensheim;;;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1235811;1087;8300/1235811/1087;Aufnahmegebäude - Rottenegg;Aufnahmegebäude;AT;4112;Rottenegg;Rohrbacherstraße 7;Rottenegg;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1235811;1088;8300/1235811/1088;Aufnahmegebäude - Gerling;Aufnahmegebäude;AT;4175;Herzogsdorf;Gerling 27;Gerling OÖ;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1235811;1090;8300/1235811/1090;Haltestellengebäude - Kleinzell;Haltestellengebäude;AT;4120;Neufelden;;;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1235811;1091;8300/1235811/1091;Aufnahmegebäude - Neufelden;Aufnahmegebäude;AT;4120;Neufelden;Plankenberg 9;Neufelden;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1235811;1092;8300/1235811/1092;Aufnahmegebäude - Haslach;Aufnahmegebäude;AT;4170;Haslach;Keppling 8;Haslach;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1235811;1093;8300/1235811/1093;Aufnahmegebäude - Rohrbach Berg;Aufnahmegebäude;AT;4150;Rohrbach;Bahnhofstraße 54;Rohrbach-Berg;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1235811;1095;8300/1235811/1095;Aufnahmegebäude - Aigen Schlägl;Aufnahmegebäude;AT;4160;Aigen Schlägl;Bahnhofstraße 9;Aigen-Schlägl;IMM Oberösterreich (Linz);Moedritscher Annemarie
8300;1236111;1100;8300/1236111/1100;Aufnahmegebäude - Munderfing;Aufnahmegebäude;AT;5222;Munderfing;Hauptstraße 94;Munderfing;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1236111;1101;8300/1236111/1101;Aufnahmegebäude - Mauerkirchen;Aufnahmegebäude;AT;5270;Mauerkirchen;Bahnhofstraße 16;Mauerkirchen;IMM Oberösterreich (Linz);Schnaitter Anton
8300;1240144;1105;8300/1240144/1105;Aufnahmegebäude - Seekirchen/Wallersee;Aufnahmegebäude;AT;5201;Seekirchen/Wallersee;Bahnhofstraße 41;Seekirchen am Wallersee;IMM Salzburg (Salzburg);Hess Rudolf
8300;1230211;1106;8300/1230211/1106;Aufnahmegebäude - Großreifling;Aufnahmegebäude;AT;8931;Großreifling;Großreifling 29;Großreifling;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1230221;1107;8300/1230221/1107;Aufnahmegebäude - Gstatterboden;Aufnahmegebäude;AT;8913;Admont;Gstatterboden 1;Gstatterboden im Nationalpark;IMM Steiermark (Graz);Glawogger Wolfgang
